region_id,mean_electricity,mean_heatingfuels,region_name
AGO.10.83,-0.055382172,-0.035216248,Chipindo
AGO.10.84,-0.061267657,-0.049157548,Gambos
AGO.10.85.280,-0.070910942,-0.445204019,Humpata
AGO.10.86,-0.036977461,-0.049748838,Jamba
AGO.10.87,-0.049971052,-0.043327713,Kuvango
AGO.10.88,-0.077237922,-0.222685815,Lubango
AGO.10.89,-0.024648903,-0.053453779,Matala
AGO.10.90,-0.029787921,-0.035066605,Quilengues
AGO.10.91.297,-0.043551325,-0.038250566,Tchipungo
AGO.11.100,0.047147464,-0.150767493,Viana
AGO.11.92,0.047990194,-0.154257727,Cacuaco
AGO.11.93,0.047950752,-0.153918051,Cazenga
AGO.11.94,0.039425662,-0.122304319,Ingombota
AGO.11.95.309,0.043621611,-0.137323546,Kilamba Kiaxi
AGO.11.96,0.036338163,-0.111907505,Maianga
AGO.11.97,0.04698159,-0.15010464,Rangel
AGO.11.98,0.035016702,-0.107735802,Samba
AGO.11.99,0.047950752,-0.153918051,Sambizanga
AGO.12.101,0.038733037,-0.126416612,Cambulo
AGO.12.102,0.002787396,-0.047378588,Capenda
AGO.12.103,0.001803161,-0.04508177,Caungula
AGO.12.104,0.033531513,-0.11469977,Chitato
AGO.12.105,0.022884247,-0.087612462,Cuango
AGO.12.106,0.014962921,-0.067102814,Cuilo
AGO.12.107,-0.000406016,-0.039646137,Lubalo
AGO.12.108,0.023184549,-0.081631588,Lucapa
AGO.12.109,0.006160322,-0.057500005,X Muteba
AGO.13.110,-0.01966948,-0.026478231,Cacolo
AGO.13.111,-0.000132836,-0.052391196,Dala
AGO.13.112,0.027417103,-0.095933699,Muconda
AGO.13.113,0.019422759,-0.07246449,Saurimo
AGO.14.114,-0.021664271,-0.027986574,Cacuzo
AGO.14.115,-0.014795943,-0.032463849,Calandula
AGO.14.116,-0.017163955,-0.030339229,Cambundi-Catembo
AGO.14.117,-0.011622166,-0.035870826,Cangandala
AGO.14.118,0.024011789,-0.095859671,Caombo
AGO.14.119,-0.005507275,-0.041404176,Cuaba Nzogo
AGO.14.120,0.038386759,-0.140383793,Cunda-dia-Baza
AGO.14.121,-0.01307848,-0.037271273,Luquembo
AGO.14.122,-0.01449093,-0.032396293,Malanje
AGO.14.123,0.030239864,-0.113237334,Marimba
AGO.14.124,0.022602558,-0.09044149,Massango
AGO.14.125,-0.005263283,-0.041709924,Mucari
AGO.14.126,0.023314945,-0.093137645,Quela
AGO.14.127,-0.020234665,-0.033623326,Quirima
AGO.15.128,0.002717165,-0.070462846,Alto Zambeze
AGO.15.129.423,-0.00311397,-0.054436755,Camanongue
AGO.15.130.424,0.018067705,-0.090069414,Kameia
AGO.15.131,0.00116983,-0.062979233,Lua
AGO.15.132.427,0.030538662,-0.107333851,Luau
AGO.15.133,0.022060487,-0.095324325,Lucano
AGO.15.134,-0.007751833,-0.074432433,Luchazes
AGO.15.135,0.014332999,-0.110703443,Lumbala-Nguimbo
AGO.15.136,-0.01393217,-0.051861775,Moxico
AGO.16.137,-0.041589169,-0.034173274,Bibala
AGO.16.138,-0.039503198,-0.029532278,Camacuio
AGO.16.139,-0.038846048,-0.038093055,Namibe
AGO.16.140,-0.051665833,-0.053230274,Tombwa
AGO.16.141,-0.052260366,-0.045011866,Virei
AGO.17.142,-0.019566123,-0.027388835,Alto Cauale
AGO.17.143,0.008686232,-0.065489959,Ambuila
AGO.17.144,0.01511335,-0.077275468,Bembe
AGO.17.145,0.004677077,-0.053599167,Buengas
AGO.17.146.471,-0.036173073,-0.019566309,Bungo
AGO.17.147,-0.011921527,-0.036279916,Damba
AGO.17.148,0.007973719,-0.058521485,Maquela do Zombo
AGO.17.149,0.021323828,-0.087402607,Milunga
AGO.17.150,-0.018150597,-0.032068658,Mucaba
AGO.17.151,-0.029024899,-0.022867179,Negage
AGO.17.152.491,-0.031276114,-0.020521772,Puri
AGO.17.153,0.021077086,-0.083944679,Quimbele
AGO.17.154,-0.009047143,-0.040627408,Quitexe
AGO.17.155,-0.004492227,-0.04263897,Sanza Pombo
AGO.17.156,0.007370433,-0.062811446,Songo
AGO.17.157.506,-0.023196842,-0.027612972,Uige
AGO.18.158,0.017971336,-0.077552295,Cuimba
AGO.18.159,0.030156896,-0.108865236,M'Banza Congo
AGO.18.160,0.033326261,-0.107035732,N'Zeto
AGO.18.161,0.037151037,-0.121283532,Noqui
AGO.18.162,0.056937004,-0.166363622,Soyo
AGO.18.163,0.030507477,-0.101622593,Tomboco
AGO.2.10,-0.028385812,-0.031872475,Caiambambo
AGO.2.11,-0.033023069,-0.032200456,Chongoroi
AGO.2.12,-0.033688779,-0.030365765,Cubal
AGO.2.13,-0.059594875,-0.031267464,Ganda
AGO.2.14,0.02730612,-0.106089425,Lobito
AGO.2.6,-0.008069149,-0.046984613,Baa Farta
AGO.2.7,-0.067509801,-0.0344558,Balombo
AGO.2.8.31,0.022762903,-0.091804051,Benguela
AGO.2.9,-0.054383531,-0.027808785,Bocoio
AGO.3.15,-0.060548126,-0.022452748,Andulo
AGO.3.16,-0.03450804,-0.035910559,Camacupa
AGO.3.17,-0.046705622,-0.027089083,Catabola
AGO.3.18,-0.070701808,-0.038370276,Chinguar
AGO.3.19,-0.047050431,-0.035692167,Chitembo
AGO.3.20,-0.03010451,-0.036377609,Cuemba
AGO.3.21.84,-0.068553924,-0.033217919,Kunhinga
AGO.3.22,-0.066796113,-0.036234569,Kuito
AGO.3.23,-0.033228326,-0.027656436,Nharea
AGO.4.24,0.039428791,-0.117433237,Belize
AGO.4.25,0.048170417,-0.146121741,Buco Zau
